dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,70.25,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,71.65,0.05,2,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,72.65,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,73.0,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,73.4,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,73.55,0.05,0,,-0.58825,1,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,73.95,0.05,1,,1.689581,2,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,74.35,0.05,0,,0.413995,4,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,74.6,0.05,0,,-0.31491,5,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,75.35,0.05,0,,-0.223797,8,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,76.05,0.05,0,,-0.648992,11,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,76.15,0.05,0,,-0.648992,11,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,76.6,0.05,0,,-0.542693,13,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,77.2,0.05,0,,1.051788,15,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,77.25,0.05,1,,1.051788,15,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,77.3,0.05,0,,1.051788,16,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,77.35,0.05,1,,1.051788,16,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,78.0,0.05,2,,2.965166,18,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,79.2,0.05,1,,0.095099,9,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,80.0,0.05,0,,1.051788,25,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,80.35,0.05,1,,1.051788,27,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,82.75,0.05,1,,0.334271,36,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,83.2,0.05,1,,0.286437,38,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,83.25,0.05,0,,0.286437,38,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,83.55,0.05,0,,-0.223797,40,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,83.65,0.05,0,,-0.223797,40,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,84.15,0.05,0,,0.095099,14,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,84.55,0.05,0,,0.231769,43,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,85.15,0.05,0,,-0.86159,45,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,85.4,0.05,1,,-0.272858,46,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.05,0.05,0,,-0.86159,48,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.15,0.05,0,,-0.86159,48,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.3,0.05,0,,0.095099,49,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.45,0.05,0,,0.095099,49,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.65,0.05,0,,-0.86159,50,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.75,0.05,0,,-0.86159,50,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,86.8,0.05,0,,-0.86159,51,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,87.35,0.05,0,,1.051788,53,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,88.15,0.05,0,,-0.55298,56,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,88.7,0.05,0,,1.051788,58,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,88.8,0.05,2,,1.370684,59,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,89.5,0.05,0,,0.477775,61,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,90.2,0.05,0,,-0.223797,64,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,90.55,0.05,1,,-0.58825,1,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,91.15,0.05,0,,-0.542693,67,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,91.5,0.05,0,,0.669112,68,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,93.2,0.05,0,,1.051788,16,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,93.5,0.05,0,,-0.041571,73,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,93.7,0.05,0,,1.051788,58,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,94.25,0.05,0,,-0.144073,75,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,94.6,0.05,0,,-0.86159,42,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,94.65,0.05,0,,-0.86159,42,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,94.7,0.05,0,,-0.86159,42,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,95.1,0.05,0,,-0.478914,77,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,95.15,0.05,0,,-0.478914,77,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,95.55,0.05,0,,0.201398,78,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,96.05,0.05,0,,-0.223797,80,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,96.3,0.05,0,,-0.622418,81,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,97.35,0.05,0,,-0.86159,84,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,97.55,0.05,0,,0.231769,85,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,99.65,0.05,0,,-0.86159,88,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,100.75,0.05,0,,-0.622418,90,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,101.3,0.05,0,,1.051788,58,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,102.0,0.05,0,,-0.58825,93,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,102.5,0.05,0,,-0.542693,95,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,103.1,0.05,0,,-0.86159,98,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,103.2,0.05,0,,-0.86159,98,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,103.5,0.05,0,,-0.383245,3,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,103.55,0.05,0,,0.573444,99,train
allen_vcnp_real_multi|gabors,Sst-IRES-Cre;Ai32-386129,715093703,950910352,104.1,0.05,0,,1.051788,101,train
