dataset,animal,grain,representation,mean,median,q025,q975,min,max,n,negative_fraction,positive_fraction
hamburg,37529,G2,R2_RANDOM_AGG,-0.00748894353091267,-0.009145795616365693,-0.03237835112421564,0.017474997390258776,-0.04395272547261975,0.03673799961440094,50,0.48,0.14
hamburg,37529,G2,R3,-0.03267248373213094,-0.03267248373213094,-0.03267248373213094,-0.03267248373213094,-0.03267248373213094,-0.03267248373213094,1,1.0,0.0
hamburg,37529,G3,R0,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,1,0.0,1.0
hamburg,37529,G3,R1_N_ONLY,-0.02009688843671964,-0.016698699192950833,-0.07268620148205757,0.038017585077102165,-0.10090675216311945,0.04690782580982045,50,0.64,0.08
hamburg,37529,G3,R2_RANDOM_AGG,0.006450245119489364,0.008639532409595363,-0.030310930798596508,0.03809878134006919,-0.03372538153603344,0.04298046763780955,50,0.22,0.48
hamburg,37529,G3,R3,-0.015633622101741018,-0.015633622101741018,-0.015633622101741018,-0.015633622101741018,-0.015633622101741018,-0.015633622101741018,1,1.0,0.0
hamburg,37530,G2,R0,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,1,1.0,0.0
hamburg,37530,G2,R1_N_ONLY,-0.0436481758830716,-0.044304503194331546,-0.08208319262613947,-0.015937447921147534,-0.09290204423267129,-0.001420736555570068,50,0.98,0.0
hamburg,37530,G2,R2_RANDOM_AGG,-0.017114757509086812,-0.01896871461131916,-0.04533991244822852,0.015256660792833011,-0.04803679721140086,0.017038820627740814,50,0.66,0.04
hamburg,37530,G2,R3,-0.029931481000193716,-0.029931481000193716,-0.029931481000193716,-0.029931481000193716,-0.029931481000193716,-0.029931481000193716,1,1.0,0.0
hamburg,37530,G3,R0,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,-0.054012066313088636,1,1.0,0.0
hamburg,37530,G3,R1_N_ONLY,-0.01929612461419753,-0.019022395833333372,-0.061499623842592624,0.014767433449074045,-0.06783153935185193,0.02033013117283955,50,0.62,0.12
hamburg,37530,G3,R2_RANDOM_AGG,-0.0017007511574074119,-0.0021432870370370616,-0.03376961275077156,0.029759999035493777,-0.037275327932098756,0.04458319830246915,50,0.32,0.26
hamburg,37530,G3,R3,-0.0004926697530863722,-0.0004926697530863722,-0.0004926697530863722,-0.0004926697530863722,-0.0004926697530863722,-0.0004926697530863722,1,0.0,0.0
hamburg,48,G2,R0,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,1,0.0,1.0
hamburg,48,G2,R1_N_ONLY,0.05156943351764233,0.05333669780591424,-0.016835043133828727,0.11235282209673705,-0.021494471920579516,0.12867282109753359,50,0.06,0.88
hamburg,48,G2,R2_RANDOM_AGG,0.04963848464724543,0.048388653714669966,0.008150133018197628,0.0923796312036442,0.005434375018106841,0.10557455935449972,50,0.0,0.96
hamburg,48,G2,R3,0.0009680368678232076,0.0009680368678232076,0.0009680368678232076,0.0009680368678232076,0.0009680368678232076,0.0009680368678232076,1,0.0,0.0
hamburg,48,G3,R0,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,0.11797890664822497,1,0.0,1.0
hamburg,48,G3,R1_N_ONLY,0.017018453435873875,0.02020730744949492,-0.06074532256753143,0.07617227755777463,-0.07680744662534439,0.07793338307315578,50,0.22,0.6
hamburg,48,G3,R2_RANDOM_AGG,0.04307018227731864,0.04148803900749923,-0.01449150324265384,0.09736671159990049,-0.024892525635139218,0.10302544191919188,50,0.04,0.82
hamburg,48,G3,R3,0.04182722394398519,0.04182722394398519,0.04182722394398519,0.04182722394398519,0.04182722394398519,0.04182722394398519,1,0.0,1.0
hamburg,51,G2,R0,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,1,0.0,0.0
hamburg,51,G2,R1_N_ONLY,-0.07412548976250985,-0.07229631707658743,-0.11500063832121186,-0.038860289677079995,-0.12042930291588433,-0.013038715080112673,50,1.0,0.0
hamburg,51,G2,R2_RANDOM_AGG,-0.11635425495359579,-0.11681256511337287,-0.14318413444007141,-0.08189870378156557,-0.1575205699375269,-0.05278301053427559,50,1.0,0.0
hamburg,51,G2,R3,-0.15016399873080122,-0.15016399873080122,-0.15016399873080122,-0.15016399873080122,-0.15016399873080122,-0.15016399873080122,1,1.0,0.0
hamburg,51,G3,R0,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,0.001438835338607558,1,0.0,0.0
hamburg,51,G3,R1_N_ONLY,-0.06850300842244839,-0.06707638254375248,-0.11702873688826414,-0.02973520621904729,-0.12223585109884727,-0.028133115345324644,50,1.0,0.0
hamburg,51,G3,R2_RANDOM_AGG,-0.09056229631319206,-0.09385363775721214,-0.1281880866047917,-0.04407286595211867,-0.13146823616383807,-0.04145939838863805,50,1.0,0.0
hamburg,51,G3,R3,-0.13259916481471357,-0.13259916481471357,-0.13259916481471357,-0.13259916481471357,-0.13259916481471357,-0.13259916481471357,1,1.0,0.0
hamburg,53,G2,R0,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,1,0.0,1.0
hamburg,53,G2,R1_N_ONLY,-0.005506476561561696,-0.00425623941178091,-0.060835376773773285,0.039961629298823284,-0.0711425768406061,0.043198590870027365,50,0.44,0.24
hamburg,53,G2,R2_RANDOM_AGG,-0.013172929195765928,-0.013337491530993922,-0.04518358269301646,0.018600251862091167,-0.049387158945624066,0.019655153719035368,50,0.58,0.12
hamburg,53,G2,R3,0.00808474825490274,0.00808474825490274,0.00808474825490274,0.00808474825490274,0.00808474825490274,0.00808474825490274,1,0.0,0.0
hamburg,53,G3,R0,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,0.01754868017611666,1,0.0,1.0
hamburg,53,G3,R1_N_ONLY,0.005405943774942242,0.004041698435202745,-0.04653908240784502,0.056231559618515004,-0.08415203292375556,0.08241145557655954,50,0.32,0.46
hamburg,53,G3,R2_RANDOM_AGG,0.02458967413358539,0.027633075115521932,-0.009865708802641284,0.05301438212822932,-0.017609820415878996,0.07231025874291114,50,0.04,0.76
hamburg,53,G3,R3,0.04717280652699013,0.04717280652699013,0.04717280652699013,0.04717280652699013,0.04717280652699013,0.04717280652699013,1,0.0,1.0
