recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
37530:iso:20190417 - imaging GCaMP6f mouse #37530 under iso:5,060_37530_iso_851ef84e67,37530,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37530 under iso/5/suite2p/plane0,494,300.0,9000,494,1,494,1,1.0,1,0.7324923371961515,50,10,50,4,10.0,10,0.39774999999999994,25,20,25,14,20.0,20,0.40240000000000004
37530:iso:20190417 - imaging GCaMP6f mouse #37530 under iso:6,061_37530_iso_872f5dffb3,37530,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37530 under iso/6/suite2p/plane0,594,300.0,9000,594,1,594,1,1.0,1,0.8004777715425865,50,12,50,6,12.0,12,0.48985,25,24,25,18,24.0,24,0.3444
48:awa:20190608_GCaMP6f_48_quiet:2,062_48_awa_5d009bf82b,48,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_48_quiet/2/suite2p/plane0,196,300.0,9000,196,1,196,1,1.0,1,0.6163772907122035,49,4,49,4,4.0,4,0.5412848812994586,25,8,25,4,8.0,8,0.3814000000000001
48:awa:20190608_GCaMP6f_48_quiet:3,063_48_awa_2dba0dd8da,48,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_48_quiet/3/suite2p/plane0,235,300.0,9000,235,1,235,1,1.0,1,0.7153598913535537,47,5,47,5,5.0,5,0.4506564056133998,24,10,24,5,10.0,10,0.2938368055555556
48:awa:20190608_GCaMP6f_48_quiet:4,064_48_awa_f74bbf00d6,48,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_48_quiet/4/suite2p/plane0,258,300.0,9000,258,1,258,1,1.0,1,0.6631531308214651,43,6,43,6,6.0,6,0.5137912385073014,24,11,24,5,11.0,11,0.36783854166666674
48:iso:20190717_GCaMP6f_48_iso_only 3 images:2,065_48_iso_e3b08a4ea0,48,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_48_iso_only 3 images/2/suite2p/plane0,151,300.0,9000,151,1,151,1,1.0,1,0.7243980527169862,38,4,38,3,4.0,4,0.438452216066482,22,7,22,4,7.0,7,0.34607438016528924
48:iso:20190717_GCaMP6f_48_iso_only 3 images:3,066_48_iso_8533515bb5,48,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_48_iso_only 3 images/3/suite2p/plane0,306,300.0,9000,306,1,306,1,1.0,1,0.8148014652484089,44,7,44,5,7.0,7,0.5098140495867769,24,13,24,7,13.0,13,0.41384548611111116
48:iso:20190717_GCaMP6f_48_iso_only 3 images:4,067_48_iso_97099693e6,48,iso,Anesthesia/calcium_imaging/20190717_GCaMP6f_48_iso_only 3 images/4/suite2p/plane0,353,300.0,9000,353,1,353,1,1.0,1,0.8096275148665024,45,8,45,1,8.0,8,0.5603703703703704,24,15,24,8,15.0,15,0.4086371527777778
51:awa:20190608_GCaMP6f_51_quiet:2,068_51_awa_5f59b335a0,51,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_51_quiet/2/suite2p/plane0,107,300.0,9000,107,1,107,1,1.0,1,0.6189514368067079,36,3,36,2,3.0,3,0.5867091049382717,22,5,22,2,5.0,5,0.4666838842975206
51:awa:20190608_GCaMP6f_51_quiet:3,069_51_awa_bd931a5cd9,51,awa,Anesthesia/calcium_imaging/20190608_GCaMP6f_51_quiet/3/suite2p/plane0,91,300.0,9000,91,1,91,1,1.0,1,0.6302529887694724,46,2,46,1,2.0,2,0.5839437618147449,23,4,23,3,4.0,4,0.4988185255198488
